@relation 'estacao'

@attribute umidade real
@attribute velocidade_vento real
@attribute chuva real
@attribute radicao_solar real
@attribute et real
@attribute classe {Frio,Normal,Quente}
 
@data
90,0.0,0.00,0,0.00,Frio
88,0.0,0.00,0,0.00,Frio
90,0.0,0.00,0,0.00,Frio
91,0.0,0.00,0,0.00,Frio
91,0.0,0.00,0,0.00,Frio
92,0.0,0.00,0,0.00,Frio
89,0.0,0.00,0,0.00,Frio
89,0.4,0.00,4,0.00,Frio
83,0.4,0.00,125,0.08,Frio
75,1.3,0.00,335,0.20,Normal
72,2.2,0.00,500,0.33,Normal
68,2.7,0.00,621,0.41,Normal
60,2.2,0.00,688,0.46,Normal
54,1.3,0.00,700,0.46,Quente
52,1.3,0.00,642,0.43,Quente
48,0.4,0.00,524,0.33,Quente
52,1.3,0.00,423,0.30,Quente
58,1.8,0.00,183,0.18,Quente
72,1.3,0.00,17,0.05,Normal
74,0.9,0.00,0,0.03,Normal
77,0.9,0.00,0,0.03,Normal
80,0.9,0.00,0,0.03,Normal
80,0.9,0.00,0,0.03,Frio
84,0.9,0.00,0,0.03,Frio
87,0.4,0.00,0,0.03,Frio
87,0.9,0.00,0,0.03,Frio
83,0.0,0.00,0,0.00,Frio
84,0.0,0.00,0,0.03,Frio
87,0.0,0.00,0,0.03,Frio
87,0.0,0.00,0,0.00,Frio
91,0.0,0.00,0,0.00,Frio
94,0.0,0.00,4,0.00,Frio
80,0.0,0.00,128,0.08,Frio
70,0.0,0.00,339,0.20,Normal
62,1.3,0.00,505,0.33,Normal
59,1.8,0.00,623,0.41,Normal
49,1.3,0.00,684,0.46,Normal
47,1.3,0.00,713,0.46,Quente
47,1.8,0.00,622,0.46,Quente
41,1.8,0.00,506,0.38,Quente
43,1.3,0.00,348,0.28,Quente
49,1.3,0.00,147,0.13,Quente
64,0.0,0.00,11,0.03,Normal
73,0.9,0.00,0,0.03,Normal
75,1.3,0.00,0,0.03,Frio
75,0.4,0.00,0,0.03,Frio
84,0.4,0.00,0,0.03,Frio
82,0.4,0.00,0,0.03,Frio
85,0.9,0.00,0,0.03,Frio
82,1.3,0.00,0,0.03,Frio
83,1.3,0.00,0,0.03,Frio
86,1.3,0.00,0,0.03,Frio
90,0.0,0.00,0,0.00,Frio
92,0.4,0.00,0,0.00,Frio
95,0.4,0.00,0,0.00,Frio
93,0.9,0.00,4,0.00,Frio
92,1.8,0.00,111,0.05,Frio
79,2.2,0.00,326,0.20,Normal
73,2.2,0.00,488,0.30,Normal
50,2.2,0.00,622,0.41,Normal
47,1.8,0.00,695,0.48,Normal
43,2.2,0.00,705,0.51,Quente
40,2.2,0.00,625,0.46,Quente
36,2.2,0.00,511,0.41,Quente
39,1.8,0.00,349,0.28,Quente
46,0.9,0.00,151,0.13,Normal
61,0.0,0.00,13,0.03,Normal
70,1.3,0.00,0,0.05,Normal
72,1.8,0.00,0,0.05,Frio
75,1.3,0.00,0,0.03,Frio
78,0.9,0.00,0,0.03,Frio
77,0.4,0.00,0,0.03,Frio
85,0.4,0.00,0,0.03,Frio
87,0.9,0.00,0,0.03,Frio
90,0.0,0.00,0,0.00,Frio
86,0.4,0.00,0,0.00,Frio
88,0.9,0.00,0,0.03,Frio
88,0.4,0.00,0,0.00,Frio
89,0.0,0.00,0,0.00,Frio
95,0.4,0.00,4,0.00,Frio
