@relation inmet_araxa-weka.filters.unsupervised.attribute.Remove-R1

@attribute umid_inst numeric
@attribute pressao numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
37,897.7,1.3,255,1852,Quente
54,898.3,3.2,309,571.2,Quente
64,898.8,2.4,228,122.7,Normal
67,899.6,2.4,207,-2.81,Normal
73,900.4,1,279,-1.31,Normal
80,901.4,1.7,254,-3.05,Normal
83,901.5,2.1,281,-3.54,Normal
85,901.4,1.1,252,-3.53,Normal
81,901.1,1.4,197,-3.33,Normal
83,900.7,2.1,231,-3.54,Normal
85,900.4,0.2,275,-3.54,Normal
86,899.9,0.4,21,-3.54,Normal
87,899.5,0,90,-3.54,Normal
87,899.7,0.7,105,-3.54,Normal
90,900.2,0.2,182,-3.54,Normal
91,901.1,0.7,239,61.32,Normal
82,901.8,0.9,271,646.9,Normal
76,902.3,1.3,286,1460,Normal
65,902.4,1.5,353,2166,Quente
55,901.9,1.9,341,2712,Quente
54,901.4,2.5,292,2956,Quente
47,900.4,2.5,337,2892,Quente
52,899.9,1.6,238,1986,Quente
85,900.2,3.9,162,125.7,Normal
81,901.7,3.4,87,78.49,Normal
87,901.4,1.4,108,42.89,Normal
88,901.5,0.9,3,15.23,Normal
90,901.9,0.1,166,-3.11,Normal
90,902.7,3,201,-3.46,Normal
86,903,1.6,192,-2.62,Normal
85,902.9,0.5,21,-3.5,Normal
86,903,2,69,-3.54,Normal
87,902.9,1.6,71,-3.53,Normal
86,902.4,2.2,91,-3.16,Normal
86,901.9,0.9,121,-2.63,Normal
88,901.6,0.1,164,-3.1,Normal
87,902,1.9,22,-3.54,Normal
88,901.9,1.6,89,-3.54,Normal
87,902.1,2.8,87,-3.54,Normal
86,902.5,2.7,91,51.62,Normal
82,902.9,3.5,80,627.3,Normal
76,903.5,3.3,70,1508,Normal
70,903.6,3.4,42,2183,Normal
68,903.4,2.1,51,2288,Normal
63,902.9,1.8,12,1911,Quente
58,901.5,2.5,314,2198,Quente
67,900.8,2.7,51,2206,Quente
77,900.2,3.1,47,922.5,Normal
76,900.4,5.2,84,1599,Normal
78,900.8,4.2,156,537.9,Normal
81,900.9,2.3,240,64.5,Normal
81,901.4,1.3,108,-2.81,Normal
85,902.3,1.9,288,-3.52,Normal
86,902.9,1.4,14,-3.52,Normal
90,903.1,0.8,250,-3.41,Normal
90,902.9,0.7,225,-3.31,Normal
89,902.7,1,113,-3.44,Normal
89,902.4,1.1,117,-3.54,Normal
88,902,1.7,67,-3.53,Normal
89,901.9,2.7,99,-3.3,Normal
90,901.8,2.3,99,-3.53,Normal
89,901.8,2.5,91,-3.54,Normal
89,902.3,3.5,84,-3.54,Normal
90,902.8,2.9,79,43.62,Normal
86,903.3,3,58,497.9,Normal
81,903.9,2.9,40,854.9,Normal
77,904.1,3.8,20,1246,Normal
70,904,3.5,18,1774,Normal
65,903.3,3.5,15,2232,Normal
64,902.8,1.8,352,1597,Quente
63,902.1,2.6,17,914.9,Quente
74,901.9,5.1,7,1763,Normal
71,901.3,2.1,61,801.4,Normal
64,901,2.7,66,1163,Normal
72,901.1,1,99,165.1,Normal
73,901.5,1,95,-2.46,Normal
74,902.2,1.6,100,-3.54,Normal
77,902.9,1,99,-3.54,Normal
78,903.3,1.1,89,-3.54,Normal
80,903,1.3,99,-3.53,Normal
80,902.9,0.6,97,-3.07,Normal
83,902.7,1.2,88,-3.54,Normal
83,902.3,0.9,102,-3.47,Normal
84,902.1,0.3,130,-2.8,Normal
85,902,0.7,182,-3.01,Normal
86,902.2,1.6,195,-2.61,Normal
84,902.6,1.7,163,-2.53,Normal
86,903.3,1.8,202,46.97,Normal
84,903.6,3.1,198,194.8,Normal
69,903.4,2.3,87,1404,Normal
64,903.4,2.4,351,2315,Quente
65,903.2,2.2,348,2385,Quente
61,902.4,2.5,315,1906,Quente
56,901.5,1.8,333,2450,Quente
49,900.3,2.6,271,3567,Quente
64,899.7,2.9,203,1866,Quente
56,899.4,2,197,946.2,Quente
63,899.9,3.2,40,1099,Quente
66,900.5,1.2,48,237,Quente
83,901.2,2.4,244,-3.23,Normal
83,902,0.5,66,-3.54,Normal
